pulse,interval_ms,interval_us
1,16.4359,16436
2,16.9116,16912
3,16.9508,16951
4,17.0731,17073
5,16.0379,16038
6,16.7115,16712
7,16.6901,16690
8,16.6870,16687
9,16.6856,16686
10,16.6955,16695
11,16.6863,16686
12,16.7201,16720
13,16.6578,16658
14,16.6927,16693
15,16.6861,16686
16,16.7029,16703
17,16.6946,16695
18,16.7151,16715
19,16.6601,16660
20,16.6926,16693
21,16.6979,16698
22,16.6912,16691
23,16.7059,16706
24,16.7021,16702
25,16.6715,16672
26,16.6874,16687
27,16.6885,16689
28,16.6961,16696
29,16.6934,16693
30,16.6986,16699
31,16.6799,16680
32,16.6825,16683
33,16.7065,16707
34,16.6903,16690
35,16.6987,16699
36,16.6827,16683
37,16.6930,16693
38,16.6920,16692
39,16.6859,16686
40,16.7037,16704
41,16.7046,16705
42,16.6694,16669
43,16.6974,16697
44,16.6895,16690
45,16.6889,16689
46,16.6998,16700
47,16.6998,16700
48,16.6832,16683
49,16.6884,16688
50,16.6935,16694
51,16.6902,16690
52,16.7013,16701
53,16.7316,16732
54,16.6601,16660
55,16.6915,16691
56,16.6837,16684
57,16.6912,16691
58,16.6906,16691
59,16.6887,16689
60,16.6901,16690
61,16.6984,16698
62,16.6867,16687
63,16.6938,16694
64,16.7030,16703
65,16.6826,16683
66,16.6910,16691
67,16.6895,16690
68,16.6906,16691
69,16.6873,16687
70,16.7027,16703
71,16.6859,16686
72,16.6905,16690
73,16.6902,16690
74,16.6861,16686
75,16.6981,16698
76,16.7112,16711
77,16.6735,16673
78,16.6954,16695
79,16.6871,16687
80,16.6938,16694
81,16.6915,16692
82,16.6997,16700
83,16.6801,16680
84,16.6950,16695
85,16.6997,16700
86,16.6894,16689
87,16.7018,16702
88,16.6812,16681
89,16.6943,16694
90,16.6925,16692
91,16.6924,16692
92,16.6842,16684
93,16.7224,16722
94,16.6593,16659
95,16.6974,16697
96,16.6910,16691
97,16.6919,16692
98,16.6947,16695
99,16.7025,16703
100,16.6801,16680
