pulse,interval_ms,interval_us
1,16.4483,16448
2,16.8954,16895
3,16.9259,16926
4,17.1619,17162
5,15.9990,15999
6,16.6796,16680
7,16.6919,16692
8,16.6981,16698
9,16.6904,16690
10,16.6881,16688
11,16.7176,16718
12,16.6568,16657
13,16.6906,16691
14,16.6938,16694
15,16.6972,16697
16,16.6867,16687
17,16.7135,16714
18,16.6622,16662
19,16.6963,16696
20,16.6899,16690
21,16.7022,16702
22,16.7239,16724
23,16.6617,16662
24,16.6873,16687
25,16.6970,16697
26,16.6809,16681
27,16.7021,16702
28,16.7264,16726
29,16.6441,16644
30,16.6987,16699
31,16.6911,16691
32,16.6942,16694
33,16.6948,16695
34,16.7143,16714
35,16.6580,16658
36,16.6969,16697
37,16.6888,16689
38,16.6896,16690
39,16.6992,16699
40,16.7093,16709
41,16.6624,16662
42,16.6929,16693
43,16.6882,16688
44,16.6953,16695
45,16.6931,16693
46,16.6898,16690
47,16.6911,16691
48,16.6909,16691
49,16.6874,16687
50,16.6970,16697
51,16.7257,16726
52,16.6533,16653
53,16.7296,16730
54,16.6726,16673
55,16.6877,16688
56,16.6878,16688
57,16.7286,16729
58,16.6407,16641
59,16.6990,16699
60,16.6803,16680
61,16.6954,16695
62,16.6988,16699
63,16.7118,16712
64,16.6618,16662
65,16.6868,16687
66,16.6927,16693
67,16.6934,16693
68,16.6934,16693
69,16.7126,16713
70,16.6667,16667
71,16.6920,16692
72,16.6929,16693
73,16.6926,16693
74,16.7189,16719
75,16.6785,16679
76,16.6778,16678
77,16.6913,16691
78,16.6852,16685
79,16.7016,16702
80,16.7268,16727
81,16.6506,16651
82,16.6805,16681
83,16.6912,16691
84,16.6963,16696
85,16.6959,16696
86,16.7220,16722
87,16.6625,16663
88,16.6874,16687
89,16.6894,16689
90,16.6895,16690
91,16.7081,16708
92,16.7104,16710
93,16.6558,16656
94,16.6896,16690
95,16.6964,16696
96,16.6878,16688
97,16.7022,16702
98,16.7728,16773
99,16.6607,16661
100,16.6490,16649
