pulse,interval_ms,interval_us
1,16.4326,16433
2,16.8895,16890
3,16.9353,16935
4,17.0980,17098
5,16.0334,16033
6,16.7185,16718
7,16.6755,16675
8,16.6912,16691
9,16.6824,16682
10,16.7033,16703
11,16.6717,16672
12,16.7212,16721
13,16.6633,16663
14,16.6980,16698
15,16.6860,16686
16,16.6988,16699
17,16.6840,16684
18,16.7138,16714
19,16.6704,16670
20,16.6910,16691
21,17.0395,17040
22,16.9328,16933
23,16.2684,16268
24,16.5374,16537
25,16.6924,16692
26,16.6914,16691
27,16.7078,16708
28,16.6707,16671
29,16.7182,16718
30,16.6643,16664
31,16.6911,16691
32,16.6837,16684
33,16.6932,16693
34,16.7008,16701
35,16.7125,16712
36,16.6608,16661
37,16.6981,16698
38,16.6892,16689
39,16.6901,16690
40,16.6908,16691
41,16.7094,16709
42,16.6758,16676
43,16.6894,16689
44,16.6902,16690
45,16.6985,16699
46,16.6879,16688
47,16.6958,16696
48,16.6842,16684
49,16.6969,16697
50,16.6889,16689
51,16.6914,16691
52,16.7255,16725
53,16.6862,16686
54,16.6724,16672
55,16.6954,16695
56,16.6851,16685
57,16.6897,16690
58,16.7140,16714
59,16.6637,16664
60,16.6842,16684
61,16.6986,16699
62,16.6865,16686
63,16.6853,16685
64,16.7228,16723
65,16.6659,16666
66,16.6952,16695
67,16.6906,16691
68,16.6855,16685
69,16.6994,16699
70,16.7069,16707
71,16.6697,16670
72,16.6998,16700
73,16.6874,16687
74,16.6916,16692
75,16.7187,16719
76,16.6663,16666
77,16.6936,16694
78,16.6857,16686
79,16.6959,16696
80,16.6945,16694
81,16.7135,16713
82,16.6698,16670
83,16.6914,16691
84,16.6904,16690
85,16.6972,16697
86,16.6933,16693
87,16.7128,16713
88,16.6623,16662
89,16.6928,16693
90,16.6956,16696
91,16.6891,16689
92,16.6923,16692
93,16.7112,16711
94,16.6705,16670
95,16.6945,16695
96,16.6934,16693
97,16.6914,16691
98,16.6955,16695
99,16.6901,16690
100,16.6887,16689
