pulse,interval_ms,interval_us
1,16.4348,16435
2,16.9094,16909
3,16.9581,16958
4,17.0880,17088
5,16.2990,16299
6,16.2805,16280
7,16.8313,16831
8,16.9785,16978
9,17.0970,17097
10,16.2670,16267
11,16.2988,16299
12,16.8065,16806
13,16.9127,16913
14,16.6385,16639
15,16.8337,16834
16,16.2397,16240
17,16.8414,16841
18,16.9204,16920
19,17.1771,17177
20,16.3036,16304
21,16.2426,16243
22,16.8193,16819
23,16.9092,16909
24,16.9419,16942
25,16.1279,16128
26,16.8147,16815
27,16.8967,16897
28,16.7306,16731
29,16.9196,16920
30,16.6578,16658
31,16.7912,16791
32,16.6712,16671
33,16.6479,16648
34,16.6842,16684
35,16.6839,16684
36,16.6900,16690
37,16.8178,16818
38,16.6179,16618
39,16.6299,16630
40,16.7185,16719
41,16.6942,16694
42,16.6831,16683
43,16.7702,16770
44,16.5890,16589
45,16.7156,16716
46,16.7228,16723
47,16.6830,16683
48,16.6548,16655
49,16.7825,16782
50,16.6068,16607
51,16.7229,16723
52,16.7034,16703
53,16.7704,16770
54,16.6552,16655
55,16.7108,16711
56,16.6167,16617
57,16.7116,16712
58,16.6729,16673
59,16.7030,16703
60,16.7769,16777
61,16.6499,16650
62,16.6255,16625
63,16.6889,16689
64,16.7188,16719
65,16.6973,16697
66,16.7297,16730
67,16.6816,16682
68,16.6430,16643
69,16.6964,16696
70,16.7005,16700
71,16.7035,16703
72,16.7548,16755
73,16.6055,16606
74,16.6878,16688
75,16.7168,16717
76,16.6977,16698
77,16.7462,16746
78,16.6901,16690
79,16.6171,16617
80,16.7093,16709
81,16.6918,16692
82,16.6875,16687
83,16.7859,16786
84,16.6441,16644
85,16.6534,16653
86,16.6920,16692
87,16.7121,16712
88,16.6894,16689
89,16.7834,16783
90,16.6194,16619
91,16.6790,16679
92,16.7018,16702
93,16.6987,16699
94,16.6807,16681
95,16.7585,16759
96,16.5758,16576
97,16.7272,16727
98,16.7051,16705
99,16.7051,16705
100,16.6610,16661
